School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2009-2010,31,10,21,0.323,-4.90,3.13,,1,15,,8,10,,0,10,,1773,1957,,59.6,106.0,0.400,0.440,0.558,53.2,59.8,9.7,10.0,0.527,17.2,30.4,0.273
Akron,2009-2010,35,24,11,0.686,2.82,-1.50,,12,4,,13,5,,7,4,,2472,2293,,65.9,97.3,0.405,0.293,0.510,48.4,47.9,10.1,6.6,0.464,18.1,33.3,0.287
Alabama,2009-2010,32,17,15,0.531,10.34,6.62,,6,10,,11,6,,3,6,,2192,2073,,65.7,98.6,0.365,0.329,0.509,49.5,48.6,8.8,10.1,0.477,18.0,34.2,0.242
Alabama A&M,2009-2010,27,11,16,0.407,-20.19,-13.71,,8,10,,8,5,,3,9,,1778,1881,,73.2,94.7,0.416,0.285,0.500,53.2,56.8,11.3,11.4,0.469,21.4,39.4,0.261
Alabama State,2009-2010,31,16,15,0.516,-14.41,-12.02,,12,6,,9,3,,6,11,,1998,2043,,67.8,96.8,0.479,0.270,0.523,48.7,49.1,11.7,10.2,0.482,19.9,31.4,0.320
Albany (NY),2009-2010,32,7,25,0.219,-11.94,-5.53,,2,14,,4,9,,3,15,,2007,2212,,65.7,104.4,0.351,0.341,0.530,48.0,55.7,12.3,11.2,0.497,15.8,31.9,0.243
Alcorn State,2009-2010,31,2,29,0.065,-30.36,-9.00,,2,16,,2,8,,0,18,,1880,2542,,75.3,108.5,0.447,0.304,0.548,55.5,63.7,14.3,13.1,0.523,17.4,39.7,0.284
American,2009-2010,31,11,20,0.355,-11.47,-6.89,,7,7,,7,8,,4,12,,1941,2083,,64.1,102.7,0.389,0.279,0.514,47.6,52.9,12.1,8.4,0.478,12.8,27.0,0.263
Appalachian State,2009-2010,37,24,13,0.649,1.80,-2.76,,13,5,,14,4,,8,8,,2766,2567,,67.5,102.1,0.325,0.388,0.514,44.3,55.8,10.5,7.4,0.486,13.8,27.4,0.214
Arizona,2009-2010,31,16,15,0.516,7.97,8.10,,10,8,,11,5,,4,7,,2229,2233,,68.4,102.8,0.383,0.319,0.525,50.1,50.2,8.3,9.5,0.487,15.8,31.5,0.266
Arizona State,2009-2010,33,22,11,0.667,13.80,5.83,,12,6,,16,4,,5,5,,2202,1938,,62.1,94.5,0.348,0.338,0.493,50.1,59.7,9.0,8.9,0.456,17.8,31.0,0.238
Arkansas,2009-2010,32,14,18,0.438,5.87,5.09,,7,9,,12,8,,2,7,,2391,2366,,71.3,102.5,0.350,0.328,0.531,51.8,50.3,9.2,11.6,0.493,17.4,34.5,0.253
Arkansas State,2009-2010,31,17,14,0.548,-4.01,-4.39,,11,7,,10,5,,5,8,,2160,2065,,67.6,97.8,0.337,0.305,0.493,47.4,52.4,10.5,8.1,0.454,15.3,30.1,0.237
