School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,2014-2015,31,10,21,0.323,-17.20,-6.34,,4,14,,7,6,,1,14,,1976,2186,,65.9,107.0,0.473,0.327,0.573,55.4,50.1,8.8,11.6,0.539,19.2,33.4,0.325
Air Force,2014-2015,31,14,17,0.452,-1.85,-0.71,,6,12,,11,5,,1,11,,2037,2017,,61.1,106.1,0.349,0.444,0.551,50.6,64.3,9.6,11.3,0.522,17.3,31.7,0.240
Akron,2014-2015,35,21,14,0.600,3.65,-0.47,,9,9,,15,3,,2,9,,2382,2203,,64.7,96.9,0.410,0.310,0.498,49.5,48.8,10.6,9.2,0.455,16.7,31.8,0.278
Alabama,2014-2015,34,19,15,0.559,10.52,8.09,,8,10,,14,5,,4,8,,2280,2180,,63.1,100.8,0.392,0.370,0.513,50.3,54.3,8.1,8.0,0.471,16.4,32.1,0.277
Alabama A&M,2014-2015,29,9,20,0.310,-17.15,-9.62,,8,10,,4,7,,5,12,,1797,1988,,64.5,105.8,0.412,0.293,0.526,50.5,47.6,10.8,9.1,0.499,15.4,36.3,0.259
Alabama State,2014-2015,29,19,10,0.655,-8.97,-12.71,,14,4,,9,3,,8,5,,2090,1937,,69.8,95.3,0.356,0.308,0.500,46.5,49.6,10.3,6.8,0.469,16.9,28.5,0.230
Albany (NY) NCAA,2014-2015,33,24,9,0.727,-0.34,-5.18,,15,1,,12,3,,12,5,,2156,1996,,61.2,98.5,0.303,0.416,0.527,46.5,54.5,7.8,10.6,0.496,17.7,26.1,0.212
Alcorn State,2014-2015,32,6,26,0.188,-20.75,-9.95,,4,14,,4,7,,1,15,,2066,2377,,68.2,108.9,0.396,0.290,0.553,53.6,49.2,7.5,8.2,0.523,15.6,35.8,0.269
American,2014-2015,33,17,16,0.515,-3.56,-3.71,,8,10,,8,3,,7,13,,1938,1933,,57.0,101.2,0.331,0.325,0.538,54.3,51.1,8.7,10.0,0.511,18.8,31.5,0.224
Appalachian State,2014-2015,29,12,17,0.414,-9.81,-3.18,,9,11,,7,5,,5,12,,1841,2033,,66.5,105.4,0.375,0.294,0.538,50.1,49.5,9.3,9.2,0.506,14.9,29.9,0.256
Arizona NCAA,2014-2015,38,34,4,0.895,24.33,7.41,,16,2,,17,0,,8,3,,2911,2268,,66.5,89.4,0.373,0.315,0.494,43.2,47.6,7.1,6.3,0.451,18.5,22.4,0.260
Arizona State,2014-2015,34,18,16,0.529,9.52,6.66,,9,9,,15,3,,3,10,,2360,2263,,66.0,99.0,0.341,0.285,0.535,47.1,51.4,9.1,12.4,0.502,17.1,25.1,0.238
Arkansas NCAA,2014-2015,36,27,9,0.750,14.07,6.79,,13,5,,17,2,,7,5,,2787,2525,,70.1,99.3,0.388,0.312,0.525,49.8,51.6,8.1,6.9,0.483,19.1,34.6,0.278
Arkansas State,2014-2015,29,11,18,0.379,-10.10,-3.81,,6,14,,5,9,,6,9,,1869,2018,,66.9,103.1,0.347,0.349,0.515,50.9,47.9,9.9,7.0,0.484,14.9,32.2,0.233
Arkansas-Pine Bluff,2014-2015,32,12,20,0.375,-15.65,-8.61,,9,9,,5,4,,5,13,,1912,2140,,64.7,103.0,0.488,0.359,0.549,55.0,59.0,11.6,8.5,0.512,21.0,39.5,0.328
Army,2014-2015,30,15,15,0.500,-6.50,-4.98,,6,12,,7,7,,7,8,,2164,2163,,69.0,103.2,0.400,0.286,0.540,50.7,54.8,9.8,10.0,0.509,16.8,31.1,0.266
Auburn,2014-2015,35,15,20,0.429,3.27,8.15,,4,14,,9,8,,2,10,,2378,2523,,67.9,105.1,0.412,0.326,0.558,54.0,50.8,9.8,13.3,0.523,18.5,33.8,0.288
Austin Peay,2014-2015,30,8,22,0.267,-12.45,-2.81,,3,13,,6,7,,1,14,,1937,2178,,68.2,106.4,0.372,0.365,0.575,49.7,55.0,11.7,8.1,0.542,18.3,28.8,0.270
